player_id,player_name,game_dt,epm,oepm,depm
202722,Davis Bertans,2022-04-10,0.68426,1.12113,-0.436868
202738,Isaiah Thomas,2022-04-10,-1.42757,-0.246504,-1.18107
203076,Anthony Davis,2022-04-10,3.10584,1.11728,1.98855
203078,Bradley Beal,2022-04-10,1.90206,2.46769,-0.565628
203081,Damian Lillard,2022-04-10,4.04718,5.62912,-1.58194
203082,Terrence Ross,2022-04-10,-3.5062,-1.53101,-1.9752
203083,Andre Drummond,2022-04-10,1.32401,0.0325096,1.2915
203084,Harrison Barnes,2022-04-10,-0.996183,0.4404,-1.43658
203085,Austin Rivers,2022-04-10,-2.55259,-1.84806,-0.704531
203087,Jeremy Lamb,2022-04-10,-0.292551,0.219974,-0.512525
203090,Maurice Harkless,2022-04-10,-2.53685,-2.43877,-0.0980773
203095,Evan Fournier,2022-04-10,0.0833674,1.16596,-1.0826
203107,Tomas Satoransky,2022-04-10,-1.94587,-1.2485,-0.697376
203109,Jae Crowder,2022-04-10,1.48335,-0.140901,1.62425
203110,Draymond Green,2022-04-10,1.58449,-1.18775,2.77224
203114,Khris Middleton,2022-04-10,2.70356,2.25313,0.45043
203115,Will Barton,2022-04-10,-1.28069,-0.571472,-0.709221
203145,Kent Bazemore,2022-04-10,-1.88244,-3.09581,1.21338
203200,Justin Holiday,2022-04-10,-1.10919,-0.575628,-0.533557
203210,JaMychal Green,2022-04-10,-1.28195,-0.898177,-0.383776
203457,Nerlens Noel,2022-04-10,-2.24982,-3.07393,0.824106
203458,Alex Len,2022-04-10,-2.04262,-1.89564,-0.146982
203463,Ben McLemore,2022-04-10,-2.28565,-0.609822,-1.67583
203468,CJ McCollum,2022-04-10,1.33889,2.9163,-1.57741
203471,Dennis Schroder,2022-04-10,-1.56872,-1.07149,-0.497238
203473,Dewayne Dedmon,2022-04-10,-1.15221,-1.426,0.273796
203476,Gorgui Dieng,2022-04-10,-0.94633,-0.645563,-0.300767
203482,Kelly Olynyk,2022-04-10,0.531453,0.892658,-0.361205
203484,Kentavious Caldwell-Pope,2022-04-10,-0.159407,-0.130089,-0.0293182
203486,Mason Plumlee,2022-04-10,0.609109,-0.802796,1.4119
203488,Mike Muscala,2022-04-10,1.32962,0.649872,0.679753
203490,Otto Porter Jr.,2022-04-10,0.149348,-0.717396,0.866744
203493,Reggie Bullock,2022-04-10,-0.995754,-0.468274,-0.52748
203496,Robert Covington,2022-04-10,1.19939,-0.238262,1.43765
203497,Rudy Gobert,2022-04-10,5.32296,1.6295,3.69346
203500,Steven Adams,2022-04-10,2.457,1.62632,0.830671
203501,Tim Hardaway Jr.,2022-04-10,0.183465,0.81494,-0.631475
203503,Tony Snell,2022-04-10,-3.45326,-2.42752,-1.02574
