player_id,player_name,game_dt,epm,oepm,depm
101108,Chris Paul,2023-04-09,2.9738,2.24613,0.727664
1626145,Tyus Jones,2023-04-09,0.68471,1.08606,-0.401352
1626149,Montrezl Harrell,2023-04-09,0.151625,0.0216747,0.12995
1626153,Delon Wright,2023-04-09,1.39308,0.159864,1.23322
1626156,D'Angelo Russell,2023-04-09,1.02953,1.51928,-0.489751
1626157,Karl-Anthony Towns,2023-04-09,2.24621,2.71581,-0.469601
1626158,Richaun Holmes,2023-04-09,-2.39291,-1.73957,-0.653343
1626159,Justise Winslow,2023-04-09,-1.61761,-2.64943,1.03181
1626161,Willie Cauley-Stein,2023-04-09,-3.42422,-3.37798,-0.0462438
1626162,Kelly Oubre Jr.,2023-04-09,-0.839579,-0.274725,-0.564854
1626163,Frank Kaminsky,2023-04-09,-2.45242,-1.48221,-0.970207
1626164,Devin Booker,2023-04-09,3.84696,4.5105,-0.663541
1626166,Cameron Payne,2023-04-09,0.486037,0.481828,0.00420945
1626167,Myles Turner,2023-04-09,2.2751,1.56525,0.709847
1626168,Trey Lyles,2023-04-09,-0.858949,-0.205061,-0.653888
1626171,Bobby Portis,2023-04-09,0.065588,0.407185,-0.341597
1626172,Kevon Looney,2023-04-09,1.60621,0.834324,0.771887
1626174,Christian Wood,2023-04-09,-0.471345,1.11915,-1.5905
1626179,Terry Rozier,2023-04-09,0.124901,1.10079,-0.97589
1626181,Norman Powell,2023-04-09,-1.7049,-0.371501,-1.3334
1626192,Pat Connaughton,2023-04-09,-1.31902,-0.705322,-0.613698
1626195,Willy Hernangomez,2023-04-09,-0.411318,-0.0910346,-0.320283
1626196,Josh Richardson,2023-04-09,-1.72216,-1.61366,-0.108502
1626204,Larry Nance Jr.,2023-04-09,-0.153895,-1.50328,1.34938
1626220,Royce O'Neale,2023-04-09,-0.118196,-0.633157,0.514961
1626224,Cedi Osman,2023-04-09,-0.898439,-0.187463,-0.710976
1626246,Boban Marjanovic,2023-04-09,-1.03155,-0.652398,-0.379153
1627732,Ben Simmons,2023-04-09,0.586021,-1.02167,1.60769
