NBA ID,Player Name,Position,Age,DPM,Offensive DPM,Defensive DPM,Box Only O-DPM,Box Only D-DPM,On Off O-DPM,On Off D-DPM
1630590,Scotty Pippen Jr.,pg_pos,25.6,0.12,-0.36,0.48,-0.11,1.32,-0.82,-0.42
1629006,Josh Okogie,sg_pos,27.8,0.11,-1.36,1.46,-1.63,1.05,-1.22,1.59
1631119,Jaylin Williams,pf_pos,23.9,0.09,-0.41,0.5,-0.44,0.17,-0.39,0.71
1629637,Jaxson Hayes,c_pos,26.0,0.07,-0.94,1.01,-0.9,0.63,-0.96,1.15
1630530,Trey Murphy III,sf_pos,26.0,0.07,0.96,-0.88,1.38,-0.36,0.74,-1.04
1630241,Sam Merrill,sg_pos,30.1,0.06,0.82,-0.75,1.05,-0.46,0.58,-0.93
1642266,Ja'Kobe Walter,sg_pos,21.7,0.06,-0.24,0.3,0.18,0.45,-0.97,0.13
1631321,Sidy Cissoko,sg_pos,22.2,0.06,-1.05,1.11,-0.88,1.31,-1.53,0.78
1629646,Charles Bassey,c_pos,25.6,0.05,-0.75,0.8,-0.57,1.26,-1.36,-0.14
1631101,Shaedon Sharpe,sg_pos,23.0,0.03,1.08,-1.05,1.1,-1.21,1.07,-0.98
1642851,Kon Knueppel,sg_pos,20.7,0.03,0.89,-0.86,0.42,-1.12,1.77,-0.56
1641744,Zach Edey,c_pos,24.1,0.03,-1.33,1.36,-1.41,0.94,-1.12,1.99
1630224,Jalen Green,sg_pos,24.3,0.02,1.07,-1.05,1.32,-0.97,0.96,-1.07
1642263,Reed Sheppard,pg_pos,21.9,0.02,-0.26,0.28,-0.11,0.53,-0.51,0.03
1628380,Zach Collins,c_pos,28.5,0.01,-1.22,1.22,-1.16,1.36,-1.26,1.17
1631323,Simone Fontecchio,sf_pos,30.5,0,0.22,-0.22,0.52,-0.3,-0.08,-0.17
1631095,Jabari Smith Jr.,pf_pos,23.1,-0.02,-0.18,0.16,-0.52,-0.36,-0.01,0.32
1626167,Myles Turner,c_pos,30.2,-0.03,-0.92,0.89,-0.39,1.69,-1.04,0.79
1642276,Kel'el Ware,c_pos,22.1,-0.05,0.31,-0.35,0.66,0.12,-0.21,-0.77
1627780,Gary Payton II,sg_pos,33.5,-0.06,-0.2,0.14,0.03,0.37,-0.39,0.03
1630314,Brandon Williams,pg_pos,26.5,-0.06,0.34,-0.4,0.41,-0.69,0.2,-0.09
1641765,Olivier-Maxence Prosper,sf_pos,23.9,-0.07,0.19,-0.26,0.4,0.11,-0.34,-0.82
1629026,Kenrich Williams,sf_pos,31.5,-0.08,-0.55,0.48,-0.43,0.3,-0.62,0.54
1630643,Jay Huff,c_pos,27.8,-0.08,-0.63,0.55,-0.34,1.02,-1.16,0.06
1630174,Aaron Nesmith,sg_pos,26.6,-0.09,0.01,-0.1,-0.8,-0.45,0.45,0.02
1641757,Jordan Miller,sg_pos,26.4,-0.09,0.42,-0.51,0.91,-0.2,-0.93,-1.02
1642843,Cooper Flagg,sf_pos,19.3,-0.13,0.55,-0.68,0.96,-0.47,-0.27,-0.94
1630538,Nah'Shon Hyland,pg_pos,25.7,-0.13,0.03,-0.16,-0.09,-0.56,0.15,0.09
1629655,Daniel Gafford,c_pos,27.7,-0.14,-0.8,0.66,-0.1,0.41,-1.16,0.74
1642504,Cormac Ryan,sg_pos,27.5,-0.16,0.04,-0.2,0.07,-0.17,-0.63,-0.58
1630543,Isaiah Jackson,c_pos,24.4,-0.16,-0.72,0.55,-0.66,0.63,-0.8,0.49
1630558,Davion Mitchell,pg_pos,27.7,-0.18,-0.25,0.07,0.12,-0.77,-0.45,0.33
1629622,Max Strus,sg_pos,30.2,-0.19,0.28,-0.47,0.47,-0.38,0.19,-0.49
1631131,Oscar Tshiebwe,c_pos,26.5,-0.19,0.1,-0.29,0.17,-0.34,-0.34,-0.08
1629312,Haywood Highsmith,sg_pos,29.5,-0.2,-0.82,0.62,-0.68,0.71,-0.96,0.57
1628415,Dillon Brooks,sg_pos,30.4,-0.21,0.76,-0.97,0.55,-1.1,0.81,-0.95
1626162,Kelly Oubre Jr.,sf_pos,30.5,-0.21,-0.04,-0.17,0.13,-0.01,-0.09,-0.19
1629614,Andrew Nembhard,pg_pos,26.4,-0.21,0.51,-0.72,1.37,-0.94,0.04,-0.65
1628989,Kevin Huerter,sg_pos,27.8,-0.22,-0.43,0.21,0,0.12,-0.56,0.23
1631099,Keegan Murray,sf_pos,25.8,-0.22,-0.34,0.12,-0.8,-0.67,-0.08,0.38
1630583,Santi Aldama,pf_pos,25.4,-0.23,0.29,-0.52,0.81,-0.03,-0.08,-0.72
1641740,Jaylen Clark,sg_pos,24.6,-0.24,-0.82,0.58,-0.9,0.54,-0.58,0.66
1629640,Keldon Johnson,pf_pos,26.7,-0.24,0.12,-0.36,0.09,-1.39,0.13,-0.13
1642346,Ryan Dunn,pf_pos,23.4,-0.24,-1.03,0.79,-0.97,0.37,-1.15,1.24
1642907,Cedric Coward,sg_pos,22.6,-0.25,0.7,-0.95,0.56,-1.2,1.12,-0.5
1631230,Dominick Barlow,pf_pos,23.0,-0.25,-1.07,0.82,-1.25,0.52,-0.79,1.1
1630200,Tre Jones,pg_pos,26.4,-0.25,0.61,-0.86,1.92,-1.64,-0.15,-0.59
1642269,Devin Carter,pg_pos,24.2,-0.26,-0.45,0.19,-0.56,0.22,0.01,0.13
1630167,Obi Toppin,pf_pos,28.3,-0.27,0.9,-1.17,2.04,-0.91,0.19,-1.27
1626172,Kevon Looney,c_pos,30.3,-0.28,-1.44,1.16,-1.36,1.88,-1.46,0.99
1629012,Collin Sexton,pg_pos,27.4,-0.3,0.47,-0.77,0.74,-1.36,0.38,-0.64
1629723,John Konchar,sg_pos,30.2,-0.3,-1.75,1.44,-1.34,1.56,-2.04,1.39
1630695,Micah Potter,c_pos,28.2,-0.32,0.24,-0.56,0.49,-0.9,-0.39,-0.05
1642352,Keshad Johnson,sf_pos,24.9,-0.36,-0.47,0.11,-0.48,0.1,-0.39,0.15
1641842,Ronald Holland II,pf_pos,20.9,-0.36,-1.29,0.93,-0.97,1.24,-1.83,0.61
1642914,Javon Small,pg_pos,23.3,-0.39,-0.09,-0.3,-0.02,-0.13,-0.51,-0.93
1641771,Jalen Slawson,sg_pos,26.5,-0.4,-1.22,0.82,-1.22,0.91,-1.22,-0.03
1631260,A.J. Green,sg_pos,26.7,-0.4,0.12,-0.52,-0.16,-1.29,0.38,-0.07
203081,Damian Lillard,pg_pos,35.9,-0.41,0.27,-0.68,0.04,-0.54,0.3,-0.69
1631245,Quenton Jackson,pg_pos,27.7,-0.42,0.11,-0.53,0.18,-0.72,-0.13,-0.14
1641707,Taylor Hendricks,sf_pos,22.5,-0.43,-0.4,-0.02,-0.33,0.31,-0.58,-0.49
1630180,Saddiq Bey,sf_pos,27.2,-0.44,0.53,-0.96,0.9,-0.82,0.36,-1
1641737,Adem Bona,c_pos,23.2,-0.44,-1.57,1.13,-1.75,1.49,-1.19,0.67
1631111,Wendell Moore Jr.,sg_pos,24.7,-0.47,-0.69,0.22,-0.67,0.19,-0.8,0.33
1628379,Luke Kennard,sg_pos,29.9,-0.47,0.09,-0.56,1.16,0.13,-0.3,-0.71
204456,T.J. McConnell,pg_pos,34.2,-0.47,-0.16,-0.32,0.71,0.26,-0.4,-0.41
1642364,Jamir Watkins,sf_pos,24.8,-0.48,-0.93,0.45,-0.88,0.48,-1.14,0.37
1630173,Precious Achiuwa,pf_pos,26.7,-0.48,-0.43,-0.05,0.01,-0.47,-0.69,0.1
1631170,Jaime Jaquez Jr.,sg_pos,25.3,-0.48,0.12,-0.6,0.29,-0.75,-0.02,-0.53
1642845,VJ Edgecombe,sg_pos,20.8,-0.48,-0.25,-0.24,-0.67,-0.55,0.44,0.06
203952,Andrew Wiggins,sg_pos,31.3,-0.49,-0.4,-0.09,0.12,0.41,-0.48,-0.14
1642347,Jamal Shead,pg_pos,23.9,-0.49,-0.68,0.19,-0.93,-0.41,-0.33,0.68
1642928,Dylan Cardwell,c_pos,24.3,-0.49,-1.94,1.45,-1.84,1.49,-2.5,1.32
