rank,player,team,position,age,minutes,games,epm,prior_war,projected_war,fair_value,actual_salary,opening_price,tier
153,myles turner,MILWAUKEE BUCKS,C,29.0,1911.7,69,-0.463,3.03,1.7,9712582,0,9712582,bench
154,jeremiah fears,NEW ORLEANS PELICANS,PG,19.0,2111.8,81,-0.843,1.31,1.68,9616094,0,9616094,bench
155,de'anthony melton,GOLDEN STATE WARRIORS,PG,27.0,1125.1,48,1.27,2.14,1.68,9577800,0,9577800,bench
156,derrick jones jr.,LOS ANGELES CLIPPERS,SF,28.0,1349.5,50,0.974,2.09,1.64,9403782,10476190,9511023,bench
157,jerami grant,PORTLAND TRAIL BLAZERS,PF,31.0,1695.0,57,-0.681,2.25,1.08,6584385,34206898,9346636,bench
158,tristan da silva,ORLANDO MAGIC,SF,24.0,1899.3,75,-0.609,2.07,1.6,9175414,0,9175414,bench
159,gary payton ii,GOLDEN STATE WARRIORS,SG,33.0,1141.9,72,1.212,2.95,1.59,9163103,0,9163103,bench
160,p.j. washington,DALLAS MAVERICKS,PF,27.0,1735.5,56,-0.292,2.17,1.47,8558879,14152174,9118208,bench
161,jakob poeltl,TORONTO RAPTORS,C,30.0,1148.9,45,1.245,1.64,1.35,7940963,19500000,9096867,bench
162,mark williams,PHOENIX SUNS,C,24.0,1415.9,59,-0.301,2.86,1.63,9353191,6276531,9045525,bench
163,nic claxton,BROOKLYN NETS,C,26.0,1920.3,68,0.131,1.34,1.57,9042759,0,9042759,bench
164,peyton watson,DENVER NUGGETS,SF,23.0,1597.7,53,0.657,1.18,1.67,9556198,4356476,9036226,bench
165,anfernee simons,CHICAGO BULLS,SG,26.0,1371.7,54,-0.531,2.14,1.15,6941286,27678571,9015014,bench
166,dean wade,CLEVELAND CAVALIERS,PF,29.0,1317.5,59,0.704,2.55,1.6,9201697,6623456,8943873,bench
167,daniel gafford,DALLAS MAVERICKS,C,27.0,1194.2,54,0.28,2.47,1.41,8271394,14386320,8882886,bench
168,keyonte george,UTAH JAZZ,PG,22.0,1786.1,53,-0.662,2.03,1.59,9139263,6563925,8881729,bench
169,robert williams iii,PORTLAND TRAIL BLAZERS,C,28.0,1008.1,58,0.574,2.73,1.43,8356523,13285713,8849442,bench
170,luka garza,BOSTON CELTICS,C,27.0,1117.8,68,1.115,2.18,1.62,9279097,2349578,8586145,bench
171,precious achiuwa,SACRAMENTO KINGS,C,26.0,1745.0,72,-0.814,2.57,1.45,8427876,0,8427876,bench
172,bennedict mathurin,LOS ANGELES CLIPPERS,SF,23.0,1620.0,54,-1.018,2.47,1.4,8210362,9187573,8308083,bench
173,jake laravia,LOS ANGELES LAKERS,PF,24.0,2061.3,82,-0.991,1.66,1.41,8274896,0,8274896,bench
174,brook lopez,LOS ANGELES CLIPPERS,C,37.0,1635.1,74,0.846,2.41,1.4,8190480,0,8190480,bench
175,brandon williams,DALLAS MAVERICKS,PG,26.0,1462.4,66,-0.642,3.2,1.52,8804409,2270735,8151041,bench
176,quentin grimes,PHILADELPHIA 76ERS,SG,25.0,2205.6,74,-0.908,1.29,1.38,8084647,0,8084647,bench
177,ja'kobe walter,TORONTO RAPTORS,SG,21.0,1473.4,70,-0.177,1.57,1.47,8536756,3811800,8064260,bench
178,alex sarr,WASHINGTON WIZARDS,C,20.0,1304.6,47,-0.719,1.73,1.22,7306253,12370680,7812696,bench
179,ayo dosunmu,MINNESOTA TIMBERWOLVES,SG,26.0,1880.9,68,-0.491,1.49,1.33,7826244,7518518,7795471,bench
180,baylor scheierman,BOSTON CELTICS,SG,25.0,1429.0,76,0.039,1.94,1.42,8317326,2744040,7759997,bench
181,aaron nesmith,INDIANA PACERS,SF,26.0,1334.8,44,0.377,1.29,1.23,7331999,11000000,7698799,bench
182,jusuf nurkic,UTAH JAZZ,C,31.0,1083.0,41,0.264,2.26,1.03,6351985,19375000,7654287,bench
183,collin sexton,CHICAGO BULLS,SG,27.0,1613.0,67,-0.722,1.61,1.01,6269147,18975000,7539732,bench
184,aaron wiggins,OKLAHOMA CITY THUNDER,SG,27.0,1413.8,64,-0.103,1.88,1.22,7292694,9224300,7485854,bench
185,jaime jaquez jr.,MIAMI HEAT,SF,24.0,2121.1,71,-1.102,1.25,1.28,7583584,5939141,7419139,bench
186,mouhamed gueye,ATLANTA HAWKS,PF,23.0,1178.6,76,-0.067,2.08,1.35,7961268,2406205,7405762,bench
187,jaxson hayes,LOS ANGELES LAKERS,C,25.0,1206.5,66,-0.161,2.12,1.24,7375578,0,7375578,bench
188,dominick barlow,PHILADELPHIA 76ERS,PF,22.0,1688.4,70,-0.846,1.65,1.31,7754239,2270735,7205888,bench
189,zach lavine,SACRAMENTO KINGS,SG,30.0,1224.2,38,-0.592,0.57,0.27,2547842,48967380,7189796,bench
190,jose alvarado,NEW YORK KNICKS,PG,27.0,1370.1,69,0.74,0.87,1.21,7248756,4500000,6973880,bench
191,jordan walsh,BOSTON CELTICS,PF,21.0,1211.7,67,-0.181,1.49,1.25,7435564,2406205,6932628,bench
192,tim hardaway jr.,DENVER NUGGETS,SG,33.0,2127.1,79,-0.671,1.8,1.14,6890474,0,6890474,bench
193,jock landale,ATLANTA HAWKS,C,30.0,1505.8,67,-0.554,2.36,1.09,6625803,8000000,6763223,bench
194,shaedon sharpe,PORTLAND TRAIL BLAZERS,SG,22.0,1471.2,49,-0.663,1.16,1.07,6532575,8399983,6719316,bench
195,justin champagnie,WASHINGTON WIZARDS,SF,24.0,1377.3,68,-0.091,1.35,1.19,7155225,2667944,6706497,bench
196,jay huff,INDIANA PACERS,C,27.0,1719.0,81,-1.003,2.23,1.18,7083491,2667944,6641936,bench
197,max christie,DALLAS MAVERICKS,SG,22.0,2244.3,76,-1.584,0.5,1.03,6332210,8285714,6527561,bench
198,josh okogie,HOUSTON ROCKETS,SG,27.0,1353.5,77,-0.392,1.79,1.02,6304668,7750000,6449201,bench
199,landry shamet,NEW YORK KNICKS,SG,28.0,1170.8,51,-0.286,2.31,1.05,6449028,0,6449028,bench
200,keon ellis,CLEVELAND CAVALIERS,SG,26.0,1478.6,71,-0.733,2.12,1.13,6869001,2301587,6412260,bench
201,quinten post,GOLDEN STATE WARRIORS,PF,25.0,1159.0,66,0.267,1.36,1.13,6840041,1955377,6351575,bench
202,nique clifford,SACRAMENTO KINGS,SG,23.0,1881.8,74,-1.673,1.59,1.03,6335636,0,6335636,bench
203,draymond green,GOLDEN STATE WARRIORS,PF,35.0,1868.7,67,-1.506,2.0,0.55,3942109,27678571,6315755,bench
204,derik queen,NEW ORLEANS PELICANS,C,21.0,2023.2,80,-2.896,2.47,1.02,6279921,0,6279921,bench
205,simone fontecchio,MIAMI HEAT,SF,30.0,1172.3,66,0.391,1.52,0.96,6019160,8307692,6248013,bench
206,hugo gonzalez,BOSTON CELTICS,SF,19.0,1083.7,73,-0.871,1.58,1.0,6208291,0,6208291,bench
207,egor demin,BROOKLYN NETS,PG,19.0,1308.1,51,-1.043,1.28,1.0,6181901,0,6181901,bench
208,kyshawn george,WASHINGTON WIZARDS,SF,22.0,1390.9,47,-0.526,1.14,1.06,6506897,3108000,6167007,bench
209,rui hachimura,LOS ANGELES LAKERS,PF,27.0,1926.5,68,-0.954,0.28,0.71,4734788,18259259,6087236,bench
210,santi aldama,MEMPHIS GRIZZLIES,PF,25.0,1198.0,42,-0.109,1.17,0.94,5877770,0,5877770,bench
211,dru smith,MIAMI HEAT,SG,28.0,1141.2,65,-0.478,2.11,0.88,5587669,0,5587669,bench
212,isaiah stewart,DETROIT PISTONS,C,24.0,1317.0,57,-1.418,1.59,0.66,4523139,15000000,5570825,bench
213,brice sensabaugh,UTAH JAZZ,SF,22.0,1761.8,74,-1.282,0.64,0.85,5432676,4862237,5375632,bench
214,ryan kalkbrenner,CHARLOTTE HORNETS,C,24.0,1478.8,68,-1.531,1.81,0.81,5240107,0,5240107,bench
215,kasparas jakucionis,MIAMI HEAT,PG,19.0,944.6,51,-0.638,1.01,0.81,5240093,0,5240093,bench
216,malik monk,SACRAMENTO KINGS,SG,27.0,1363.6,61,-0.662,0.43,0.47,3530095,20190035,5196089,bench
217,de'andre hunter,SACRAMENTO KINGS,SF,28.0,1175.4,44,-1.119,1.26,0.35,2949120,24910714,5145280,bench
218,zaccharie risacher,ATLANTA HAWKS,SF,20.0,1503.2,67,-2.723,1.95,0.59,4152216,13826040,5119598,bench
